location_category,loyalty_tier,vehicle_type,demand_profile,pricing_model,hwco_rides_30d,hwco_unit_price,hwco_revenue_30d,hwco_explanation,lyft_rides_30d,lyft_unit_price,lyft_revenue_30d,lyft_explanation,rec1_rides_30d,rec1_unit_price,rec1_revenue_30d,rec1_explanation,rec2_rides_30d,rec2_unit_price,rec2_revenue_30d,rec2_explanation,rec3_rides_30d,rec3_unit_price,rec3_revenue_30d,rec3_explanation
Urban,Gold,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,58.87,0,14923.05,No rules applied to this segment,58.87,0,14923.05,No rules applied to this segment,58.87,0,14923.05,No rules applied to this segment
Suburban,Gold,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,50.75,0,11360.28,No rules applied to this segment,50.75,0,11360.28,No rules applied to this segment,50.75,0,11360.28,No rules applied to this segment
Rural,Gold,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,56.84,0,15270.51,No rules applied to this segment,56.84,0,15270.51,No rules applied to this segment,56.84,0,15270.51,No rules applied to this segment
Urban,Gold,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,46.69,0,9095.44,No rules applied to this segment,46.69,0,9095.44,No rules applied to this segment,46.69,0,9095.44,No rules applied to this segment
Suburban,Gold,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,50.75,0,10472.25,No rules applied to this segment,50.75,0,10472.25,No rules applied to this segment,50.75,0,10472.25,No rules applied to this segment
Rural,Gold,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,62.93,0,17135.83,No rules applied to this segment,62.93,0,17135.83,No rules applied to this segment,62.93,0,17135.83,No rules applied to this segment
Urban,Gold,Premium,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,34.51,0,6567.27,No rules applied to this segment,34.51,0,6567.27,No rules applied to this segment,34.51,0,6567.27,No rules applied to this segment
Suburban,Gold,Premium,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,53.79,0,9190.26,No rules applied to this segment,53.79,0,9190.26,No rules applied to this segment,53.79,0,9190.26,No rules applied to this segment
Rural,Gold,Premium,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,51.76,0,8873.65,No rules applied to this segment,51.76,0,8873.65,No rules applied to this segment,51.76,0,8873.65,No rules applied to this segment
Urban,Gold,Premium,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,59.59,0,14434.08,No rules applied to this segment,59.59,0,14434.08,No rules applied to this segment,59.59,0,14434.08,No rules applied to this segment
