location_category,loyalty_tier,vehicle_type,demand_profile,pricing_model,hwco_rides_30d,hwco_unit_price,hwco_revenue_30d,hwco_explanation,lyft_rides_30d,lyft_unit_price,lyft_revenue_30d,lyft_explanation,rec1_rides_30d,rec1_unit_price,rec1_revenue_30d,rec1_explanation,rec2_rides_30d,rec2_unit_price,rec2_revenue_30d,rec2_explanation,rec3_rides_30d,rec3_unit_price,rec3_revenue_30d,rec3_explanation
Urban,Gold,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,53.92,0,20504.27,Applied 1 rule(s): HIGH Demand Surge Pricing,57.98,0,16020.18,Applied 1 rule(s): Urban Pricing Adjustment,58.87,0,14923.05,No rules applied to this segment
Suburban,Gold,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,46.49,0,15609.03,Applied 1 rule(s): HIGH Demand Surge Pricing,50.75,0,11360.28,No rules applied to this segment,50.75,0,11360.28,No rules applied to this segment
Rural,Gold,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,52.07,0,20981.68,Applied 1 rule(s): HIGH Demand Surge Pricing,56.84,0,15270.51,No rules applied to this segment,57.6,0,14237.69,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,42.77,0,12497.13,Applied 1 rule(s): HIGH Demand Surge Pricing,45.98,0,9764.13,Applied 1 rule(s): Urban Pricing Adjustment,46.69,0,9095.44,No rules applied to this segment
Suburban,Gold,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,46.49,0,14388.87,Applied 1 rule(s): HIGH Demand Surge Pricing,50.75,0,10472.25,No rules applied to this segment,50.75,0,10472.25,No rules applied to this segment
Rural,Gold,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,57.64,0,23544.63,Applied 1 rule(s): HIGH Demand Surge Pricing,62.93,0,17135.83,No rules applied to this segment,63.78,0,15976.84,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Premium,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,31.61,0,9023.43,Applied 1 rule(s): HIGH Demand Surge Pricing,33.99,0,7050.09,Applied 1 rule(s): Urban Pricing Adjustment,34.51,0,6567.27,No rules applied to this segment
Suburban,Gold,Premium,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.27,0,12627.41,Applied 1 rule(s): HIGH Demand Surge Pricing,53.79,0,9190.26,No rules applied to this segment,53.79,0,9190.26,No rules applied to this segment
Rural,Gold,Premium,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,47.41,0,12192.4,Applied 1 rule(s): HIGH Demand Surge Pricing,51.76,0,8873.65,No rules applied to this segment,52.46,0,8273.48,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Premium,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,59.59,0,14434.08,No rules applied to this segment,58.3,0,15393.32,Applied 1 rule(s): Urban Pricing Adjustment,59.59,0,14434.08,No rules applied to this segment
Suburban,Gold,Premium,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,53.53,0,12131.02,No rules applied to this segment,53.53,0,12131.02,No rules applied to this segment,53.53,0,12131.02,No rules applied to this segment
Rural,Gold,Premium,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,51.51,0,12136.95,No rules applied to this segment,51.51,0,12136.95,No rules applied to this segment,52.5,0,11380.38,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Premium,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,63.63,0,17407.12,No rules applied to this segment,62.26,0,18563.93,Applied 1 rule(s): Urban Pricing Adjustment,63.63,0,17407.12,No rules applied to this segment
Suburban,Gold,Premium,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,43.43,0,9847.13,No rules applied to this segment,43.43,0,9847.13,No rules applied to this segment,43.43,0,9847.13,No rules applied to this segment
Rural,Gold,Premium,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,67.67,0,19253.88,No rules applied to this segment,67.67,0,19253.88,No rules applied to this segment,68.97,0,18053.67,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Premium,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,35.35,0,6613.34,No rules applied to this segment,34.59,0,7052.84,Applied 1 rule(s): Urban Pricing Adjustment,35.35,0,6613.34,No rules applied to this segment
Suburban,Gold,Premium,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,48.48,0,8466.62,No rules applied to this segment,48.48,0,8466.62,No rules applied to this segment,48.48,0,8466.62,No rules applied to this segment
Rural,Gold,Premium,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,51.51,0,8685.34,No rules applied to this segment,51.51,0,8685.34,No rules applied to this segment,52.5,0,8143.93,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Premium,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.19,0,8216.25,No rules applied to this segment,38.09,0,8704.23,Applied 1 rule(s): Urban Pricing Adjustment,39.19,0,8216.25,No rules applied to this segment
Suburban,Gold,Premium,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,37.18,0,6025.51,No rules applied to this segment,37.18,0,6025.51,No rules applied to this segment,37.18,0,6025.51,No rules applied to this segment
Rural,Gold,Premium,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,43.21,0,9676.93,No rules applied to this segment,43.21,0,9676.93,No rules applied to this segment,44.29,0,9124.99,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Premium,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,43.21,0,9526.71,No rules applied to this segment,42.0,0,10092.53,Applied 1 rule(s): Urban Pricing Adjustment,43.21,0,9526.71,No rules applied to this segment
Suburban,Gold,Premium,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.24,0,9853.1,No rules applied to this segment,49.24,0,9853.1,No rules applied to this segment,49.24,0,9853.1,No rules applied to this segment
Rural,Gold,Premium,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,45.22,0,7651.02,No rules applied to this segment,45.22,0,7651.02,No rules applied to this segment,46.35,0,7214.63,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Premium,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,37.18,0,6160.73,No rules applied to this segment,36.14,0,6526.63,Applied 1 rule(s): Urban Pricing Adjustment,37.18,0,6160.73,No rules applied to this segment
Suburban,Gold,Premium,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.24,0,8301.03,No rules applied to this segment,49.24,0,8301.03,No rules applied to this segment,49.24,0,8301.03,No rules applied to this segment
Rural,Gold,Premium,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,48.24,0,8198.49,No rules applied to this segment,48.24,0,8198.49,No rules applied to this segment,49.44,0,7730.87,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Economy,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,38.15,0,6112.88,Applied 1 rule(s): HIGH Demand Surge Pricing,41.82,0,4869.35,Applied 1 rule(s): Urban Pricing Adjustment,42.63,0,4553.36,No rules applied to this segment
Suburban,Gold,Economy,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,36.34,0,5970.35,Applied 1 rule(s): HIGH Demand Surge Pricing,40.6,0,4447.19,No rules applied to this segment,40.6,0,4447.19,No rules applied to this segment
Rural,Gold,Economy,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,41.79,0,7500.45,Applied 1 rule(s): HIGH Demand Surge Pricing,46.69,0,5586.93,No rules applied to this segment,47.47,0,5226.32,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Economy,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,52.69,0,12792.9,Applied 1 rule(s): HIGH Demand Surge Pricing,57.76,0,10190.47,Applied 1 rule(s): Urban Pricing Adjustment,58.87,0,9529.16,No rules applied to this segment
