location_category,loyalty_tier,vehicle_type,demand_profile,pricing_model,hwco_rides_30d,hwco_unit_price,hwco_duration_minutes,hwco_revenue_30d,hwco_explanation,lyft_rides_30d,lyft_unit_price,lyft_duration_minutes,lyft_revenue_30d,lyft_explanation,rec1_rides_30d,rec1_unit_price,rec1_duration_minutes,rec1_revenue_30d,rec1_explanation,rec2_rides_30d,rec2_unit_price,rec2_duration_minutes,rec2_revenue_30d,rec2_explanation,rec3_rides_30d,rec3_unit_price,rec3_duration_minutes,rec3_revenue_30d,rec3_explanation
Urban,Gold,Premium,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,58.87,3.463,73.2,14923.05,No rules applied to this segment,58.87,3.463,73.2,14923.05,No rules applied to this segment,58.87,3.463,73.2,14923.05,No rules applied to this segment
Suburban,Gold,Premium,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,50.75,3.5235,63.53,11360.28,No rules applied to this segment,50.75,3.5235,63.53,11360.28,No rules applied to this segment,50.75,3.5235,63.53,11360.28,No rules applied to this segment
Rural,Gold,Premium,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,56.84,3.4936,76.9,15270.51,No rules applied to this segment,56.84,3.4936,76.9,15270.51,No rules applied to this segment,56.84,3.4936,76.9,15270.51,No rules applied to this segment
Urban,Gold,Premium,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,46.69,4.1246,47.23,9095.44,No rules applied to this segment,46.69,4.1246,47.23,9095.44,No rules applied to this segment,46.69,4.1246,47.23,9095.44,No rules applied to this segment
Suburban,Gold,Premium,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,50.75,4.1469,49.76,10472.25,No rules applied to this segment,50.75,4.1469,49.76,10472.25,No rules applied to this segment,50.75,4.1469,49.76,10472.25,No rules applied to this segment
Rural,Gold,Premium,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,62.93,4.2507,64.06,17135.83,No rules applied to this segment,62.93,4.2507,64.06,17135.83,No rules applied to this segment,62.93,4.2507,64.06,17135.83,No rules applied to this segment
Urban,Gold,Premium,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,34.51,4.8361,39.35,6567.27,No rules applied to this segment,34.51,4.8361,39.35,6567.27,No rules applied to this segment,34.51,4.8361,39.35,6567.27,No rules applied to this segment
Suburban,Gold,Premium,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,53.79,4.7605,35.89,9190.26,No rules applied to this segment,53.79,4.7605,35.89,9190.26,No rules applied to this segment,53.79,4.7605,35.89,9190.26,No rules applied to this segment
Rural,Gold,Premium,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,51.76,4.8635,35.25,8873.65,No rules applied to this segment,51.76,4.8635,35.25,8873.65,No rules applied to this segment,51.76,4.8635,35.25,8873.65,No rules applied to this segment
Urban,Gold,Premium,MEDIUM,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,59.59,3.3484,72.34,14434.08,No rules applied to this segment,59.59,3.3484,72.34,14434.08,No rules applied to this segment,59.59,3.3484,72.34,14434.08,No rules applied to this segment
