location_category,loyalty_tier,vehicle_type,demand_profile,pricing_model,hwco_rides_30d,hwco_unit_price,hwco_revenue_30d,hwco_explanation,lyft_rides_30d,lyft_unit_price,lyft_revenue_30d,lyft_explanation,rec1_rides_30d,rec1_unit_price,rec1_revenue_30d,rec1_explanation,rec2_rides_30d,rec2_unit_price,rec2_revenue_30d,rec2_explanation,rec3_rides_30d,rec3_unit_price,rec3_revenue_30d,rec3_explanation
Urban,Gold,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,22.31,0,13932.7,Applied 1 rule(s): HIGH Demand Surge Pricing,23.99,0,10885.75,Applied 1 rule(s): Urban Pricing Adjustment,24.36,0,10140.25,No rules applied to this segment
Suburban,Gold,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,14.88,0,8344.52,Applied 1 rule(s): HIGH Demand Surge Pricing,16.24,0,6073.16,No rules applied to this segment,16.24,0,6073.16,No rules applied to this segment
Rural,Gold,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,20.45,0,14174.93,Applied 1 rule(s): HIGH Demand Surge Pricing,22.33,0,10316.54,No rules applied to this segment,22.63,0,9618.78,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,11.16,0,6138.83,Applied 1 rule(s): HIGH Demand Surge Pricing,12.0,0,4796.33,Applied 1 rule(s): Urban Pricing Adjustment,12.18,0,4467.86,No rules applied to this segment
Suburban,Gold,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,14.88,0,7519.02,Applied 1 rule(s): HIGH Demand Surge Pricing,16.24,0,5472.36,No rules applied to this segment,16.24,0,5472.36,No rules applied to this segment
Rural,Gold,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,26.03,0,16544.12,Applied 1 rule(s): HIGH Demand Surge Pricing,28.42,0,12040.84,No rules applied to this segment,28.8,0,11226.46,Applied 1 rule(s): Rural Pricing Adjustment
Suburban,Gold,Premium,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,17.66,0,3929.38,Applied 1 rule(s): HIGH Demand Surge Pricing,19.28,0,2859.81,No rules applied to this segment,19.28,0,2859.81,No rules applied to this segment
Rural,Gold,Premium,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,15.8,0,3204.67,Applied 1 rule(s): HIGH Demand Surge Pricing,17.25,0,2332.37,No rules applied to this segment,17.48,0,2174.62,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Premium,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,26.26,0,10291.58,No rules applied to this segment,25.69,0,10975.51,Applied 1 rule(s): Urban Pricing Adjustment,26.26,0,10291.58,No rules applied to this segment
Suburban,Gold,Premium,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,20.2,0,7573.88,No rules applied to this segment,20.2,0,7573.88,No rules applied to this segment,20.2,0,7573.88,No rules applied to this segment
